"year","total"
1900,20295
1901,20752
1902,21078
1903,21250
1904,21601
1905,21993
1906,22696
1907,23505
1908,24442
1909,25306
1910,24971
1911,25253
1912,25568
1913,25978
1914,24508
1915,21670
1916,19958
1917,16654
1918,17308
1919,17974
1920,22682
1921,26307
1922,28808
1923,29303
1924,31686
1925,31838
1926,33802
1927,34576
1928,36578
1929,37042
1930,40076
1931,38479
1932,40961
1933,41137
1934,40613
1935,40760
1936,41076
1937,41717
1938,41379
1939,41046
1940,34873
1941,34027
1942,32661
1943,29947
1944,28520
1945,40159
1946,71975
1947,86426
1948,96720
1949,95286
1950,122482
1951,142973
1952,148003
1953,148945
1954,148895
1955,155612
1956,156904
1957,165253
1958,166034
1959,174234
1960,181474
1961,195071
1962,204186
1963,231153
1964,255238
1965,276529
1966,286525
1967,311313
1968,338935
1969,380968
1970,396836
1971,410278
1972,420954
1973,511319
1974,550703
1975,553590
1976,555121
1977,577737
1978,608227
1979,644298
1980,656889
1981,686579
1982,729578
1983,752922
1984,796254
1985,810492
1986,795593
1987,801473
1988,826452
1989,876112
1990,924563
1991,929236
1992,928721
1993,982591
1994,1018499
1995,1050968
1996,1190697
1997,1217698
1998,1232449
1999,1242177
2000,1309759
2001,1418712
2002,1487801
2003,1572651
2004,1688475
2005,1925956
2006,2026796
2007,2129952
2008,2231087
2009,2351465
2010,2474713
2011,2637175
2012,2772338
2013,2897479
2014,2937175
2015,2941441
2016,3044745
2017,3136249
2018,3265659
2019,3419292
2020,3563198
2021,3764543
