"year","month","n"
2019,"December",271395
2020,"January",246570
2020,"February",182829
2020,"March",222820
2020,"April",215765
2020,"May",198338
2020,"June",246666
2020,"July",226525
2020,"August",206292
2020,"September",259644
2020,"October",249942
2020,"November",233469
2020,"December",330744
2021,"January",245136
2021,"February",205565
2021,"March",235575
2021,"April",218624
2021,"May",207488
2021,"June",247406
2021,"July",214590
2021,"August",206510
2021,"September",228131
2021,"October",212295
2021,"November",206068
2021,"December",335546
2022,"January",175105
